Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
12,54940,54942.2,54961.3,54970.1,53820.8
1,55460,55427,55405.6,55395.4,54261.6
2,55660,55648.7,55629.2,55619.8,54482
3,55880,55870.5,55852.8,55844.2,54702.4
4,56080,56092.2,56076.4,56068.6,54922.8
5,56300,56313.9,56300,56293.1,55143.2
6,56530,56535.6,56523.6,56517.5,55363.7
7,56770,56757.3,56747.2,56741.9,55584.1
8,56970,56979,56970.8,56966.3,55804.5
9,57140,57200.7,57194.4,57190.8,56024.9
10,57410,57422.5,57418,57415.2,56245.3
11,57590,57644.2,57641.6,57639.6,56465.7
12,57860,57865.9,57865.2,57864,56686.1
1,58140,58087.6,58088.8,58088.5,56906.5
2,58340,58309.3,58312.4,58312.9,57127
3,58550,58531,58536,58537.3,57347.4
4,58780,58752.8,58759.6,58761.7,57567.8
5,58990,58974.5,58983.1,58986.2,57788.2
6,59160,59196.2,59206.7,59210.6,58008.6
7,59410,59417.9,59430.3,59435,58229
8,59640,59639.6,59653.9,59659.4,58449.4
9,59820,59861.3,59877.5,59883.9,58669.8
10,60070,60083,60101.1,60108.3,58890.3
11,60280,60304.8,60324.7,60332.7,59110.7
12,60600,60526.5,60548.3,60557.1,59331.1
1,61040,61003,60983.6,60964,59771.9
2,61240,61224.1,61206.8,61188.3,59992.3
3,61460,61445.3,61430,61412.6,60212.7
4,61650,61666.4,61653.2,61636.9,60433.1
5,61870,61887.6,61876.4,61861.2,60653.6
6,62100,62108.7,62099.6,62085.4,60874
7,62320,62329.8,62322.8,62309.7,61094.4
8,62540,62551,62546,62534,61314.8
9,62680,62772.1,62769.2,62758.3,61535.2
10,62960,62993.2,62992.4,62982.6,61755.6
11,63170,63214.4,63215.6,63206.9,61976
12,63450,63435.5,63438.8,63431.2,62196.4
1,63680,63656.6,63662,63655.5,62416.9
2,63900,63877.8,63885.2,63879.8,62637.3
3,64090,64098.9,64108.5,64104.1,62857.7
4,64310,64320.1,64331.7,64328.4,63078.1
5,64580,64541.2,64554.9,64552.6,63298.5
6,64770,64762.3,64778.1,64776.9,63518.9
7,64990,64983.5,65001.3,65001.2,63739.3
8,65190,65204.6,65224.5,65225.5,63959.7
9,65370,65425.7,65447.7,65449.8,64180.2
10,65650,65646.9,65670.9,65674.1,64400.6
11,65870,65868,65894.1,65898.4,64621
12,66160,66089.2,66117.3,66122.7,64841.4
1,66600,66571.9,66562.1,66541.1,65282.2
2,66820,66794.2,66785.3,66766,65502.6
3,67010,67016.5,67008.4,66990.9,65723
4,67220,67238.8,67231.6,67215.8,65943.5
5,67440,67461.1,67454.7,67440.7,66163.9
6,67710,67683.5,67677.9,67665.6,66384.3
7,67920,67905.8,67901,67890.5,66604.7
8,68100,68128.1,68124.2,68115.4,66825.1
9,68290,68350.4,68347.3,68340.3,67045.5
10,68540,68572.7,68570.5,68565.2,67265.9
11,68750,68795,68793.6,68790.1,67486.4
12,69040,69017.3,69016.8,69015,67706.8
1,69260,69239.6,69239.9,69240,67927.2
2,69480,69461.9,69463.1,69464.9,68147.6
3,69690,69684.3,69686.2,69689.8,68368
4,69910,69906.6,69909.4,69914.7,68588.4
5,70140,70128.9,70132.5,70139.6,68808.8
6,70320,70351.2,70355.7,70364.5,69029.2
7,70580,70573.5,70578.8,70589.4,69249.7
8,70790,70795.8,70802,70814.3,69470.1
9,70970,71018.1,71025.1,71039.2,69690.5
10,71230,71240.4,71248.3,71264.1,69910.9
11,71470,71462.7,71471.4,71489,70131.3
12,71780,71685.1,71694.6,71713.9,70351.7
1,72190,72162.9,72149.8,72140.6,70792.5
2,72410,72385.9,72373.2,72365.4,71013
3,72600,72608.8,72596.6,72590.1,71233.4
4,72810,72831.8,72820,72814.8,71453.8
5,73030,73054.7,73043.4,73039.6,71674.2
6,73270,73277.7,73266.8,73264.3,71894.6
7,73480,73500.6,73490.2,73489,72115
8,73690,73723.6,73713.6,73713.7,72335.4
9,73900,73946.6,73937.1,73938.5,72555.8
10,74150,74169.5,74160.5,74163.2,72776.3
11,74340,74392.5,74383.9,74387.9,72996.7
12,74660,74615.4,74607.3,74612.6,73217.1
1,74870,74838.4,74830.7,74837.4,73437.5
2,75080,75061.3,75054.1,75062.1,73657.9
3,75300,75284.3,75277.5,75286.8,73878.3
4,75530,75507.3,75500.9,75511.5,74098.7
5,75790,75730.2,75724.3,75736.3,74319.1
6,75940,75953.2,75947.7,75961,74539.6
7,76160,76176.1,76171.1,76185.7,74760
8,76370,76399.1,76394.5,76410.4,74980.4
9,76560,76622,76618,76635.2,75200.8
10,76840,76845,76841.4,76859.9,75421.2
11,77060,77068,77064.8,77084.6,75641.6
12,77370,77290.9,77288.2,77309.4,75862
1,77790,77755.9,77733,77719.9,76302.9
2,78010,77977.6,77956.3,77944.3,76523.3
3,78190,78199.2,78179.6,78168.7,76743.7
4,78390,78420.9,78402.9,78393.1,76964.1
5,78620,78642.5,78626.3,78617.5,77184.5
6,78840,78864.2,78849.6,78841.9,77404.9
7,79050,79085.8,79072.9,79066.3,77625.3
8,79270,79307.5,79296.2,79290.7,77845.7
9,79460,79529.1,79519.6,79515,78066.2
10,79740,79750.8,79742.9,79739.4,78286.6
11,79920,79972.4,79966.2,79963.8,78507
12,80180,80194.1,80189.5,80188.2,78727.4
1,80460,80415.7,80412.9,80412.6,78947.8
2,80670,80637.4,80636.2,80637,79168.2
3,80850,80859,80859.5,80861.4,79388.6
4,81100,81080.7,81082.8,81085.8,79609
5,81350,81302.3,81306.2,81310.2,79829.5
6,81520,81524,81529.5,81534.6,80049.9
7,81760,81745.6,81752.8,81759,80270.3
8,81970,81967.3,81976.1,81983.4,80490.7
9,82140,82188.9,82199.5,82207.7,80711.1
10,82400,82410.6,82422.8,82432.1,80931.5
11,82670,82632.2,82646.1,82656.5,81151.9
12,82860,82853.9,82869.4,82880.9,81372.4
1,83350,83325.3,83314.6,83298.9,81813.2
2,83550,83547.7,83537.9,83523.5,82033.6
3,83770,83770.2,83761.1,83748,82254
4,83990,83992.7,83984.4,83972.6,82474.4
5,84210,84215.2,84207.7,84197.1,82694.8
6,84420,84437.6,84431,84421.7,82915.2
7,84630,84660.1,84654.3,84646.2,83135.7
8,84850,84882.6,84877.6,84870.8,83356.1
9,85080,85105.1,85100.8,85095.3,83576.5
10,85320,85327.5,85324.1,85319.9,83796.9
11,85510,85550,85547.4,85544.4,84017.3
12,85730,85772.5,85770.7,85769,84237.7
1,85990,85995,85994,85993.5,84458.1
2,86240,86217.4,86217.3,86218.1,84678.5
3,86460,86439.9,86440.5,86442.6,84899
4,86660,86662.4,86663.8,86667.2,85119.4
5,86900,86884.9,86887.1,86891.7,85339.8
6,87110,87107.3,87110.4,87116.3,85560.2
7,87350,87329.8,87333.7,87340.8,85780.6
8,87580,87552.3,87557,87565.4,86001
9,87780,87774.7,87780.2,87789.9,86221.4
10,88020,87997.2,88003.5,88014.5,86441.8
11,88230,88219.7,88226.8,88239,86662.3
12,88420,88442.2,88450.1,88463.6,86882.7
1,88910,88913.4,88896.5,88881.7,87323.5
2,89130,89135.3,89119.8,89106.3,87543.9
3,89380,89357.3,89343,89330.9,87764.3
4,89560,89579.3,89566.3,89555.5,87984.7
5,89800,89801.2,89789.5,89780.1,88205.1
6,90030,90023.2,90012.7,90004.7,88425.6
7,90240,90245.1,90236,90229.3,88646
8,90450,90467.1,90459.2,90453.9,88866.4
9,90690,90689,90682.5,90678.5,89086.8
10,90910,90911,90905.7,90903.1,89307.2
11,91070,91133,91129,91127.7,89527.6
12,91340,91354.9,91352.2,91352.3,89748
1,91590,91576.9,91575.4,91576.9,89968.4
2,91820,91798.8,91798.7,91801.5,90188.9
3,92050,92020.8,92021.9,92026.1,90409.3
4,92240,92242.7,92245.2,92250.7,90629.7
5,92530,92464.7,92468.4,92475.3,90850.1
6,92690,92686.6,92691.7,92699.9,91070.5
7,92870,92908.6,92914.9,92924.5,91290.9
8,93110,93130.6,93138.1,93149.1,91511.3
9,93350,93352.5,93361.4,93373.7,91731.7
10,93560,93574.5,93584.6,93598.3,91952.2
11,93770,93796.4,93807.9,93822.9,92172.6
12,94060,94018.4,94031.1,94047.5,92393
1,94540,94495.3,94478.8,94465,92833.8
2,94740,94717.2,94702,94689.6,93054.2
3,94940,94939.1,94925.3,94914.2,93274.6
4,95160,95161.1,95148.5,95138.8,93495.1
5,95380,95383,95371.7,95363.4,93715.5
6,95600,95604.9,95594.9,95588,93935.9
7,95830,95826.8,95818.2,95812.6,94156.3
8,96040,96048.8,96041.4,96037.2,94376.7
9,96220,96270.7,96264.6,96261.8,94597.1
10,96480,96492.6,96487.8,96486.4,94817.5
11,96690,96714.6,96711.1,96711,95037.9
12,96940,96936.5,96934.3,96935.6,95258.4
1,97200,97158.4,97157.5,97160.2,95478.8
2,97390,97380.3,97380.8,97384.8,95699.2
3,97640,97602.3,97604,97609.4,95919.6
4,97810,97824.2,97827.2,97834,96140
5,98020,98046.1,98050.4,98058.6,96360.4
6,98240,98268.1,98273.7,98283.2,96580.8
7,98460,98490,98496.9,98507.8,96801.2
8,98700,98711.9,98720.1,98732.4,97021.7
9,98910,98933.8,98943.4,98957,97242.1
10,99170,99155.8,99166.6,99181.6,97462.5
11,99390,99377.7,99389.8,99406.2,97682.9
12,99660,99599.6,99613,99630.8,97903.3
1,100080,100074,100062,100051,98344.1
2,100310,100297,100285,100275,98564.5
3,100530,100519,100508,100499,98785
4,100740,100742,100731,100724,99005.4
5,100930,100964,100955,100948,99225.8
6,101190,101186,101178,101173,99446.2
7,101390,101409,101401,101397,99666.6
8,101630,101631,101625,101621,99887
9,101830,101853,101848,101846,100107
10,102050,102076,102071,102070,100328
11,102290,102298,102294,102295,100548
12,102530,102521,102518,102519,100769
1,102760,102743,102741,102743,100989
2,103000,102965,102964,102968,101209
3,103200,103188,103187,103192,101430
4,103420,103410,103411,103417,101650
5,103610,103632,103634,103641,101871
6,103850,103855,103857,103865,102091
7,104110,104077,104080,104090,102312
8,104320,104299,104304,104314,102532
9,104490,104522,104527,104539,102752
10,104730,104744,104750,104763,102973
11,104930,104967,104973,104988,103193
12,105230,105189,105197,105212,103414
2,105670,105653,105640,105637,103854
1,105890,105875,105864,105861,104075
4,106060,106098,106087,106084,104295
3,106290,106320,106310,106307,104516
6,106510,106542,106533,106530,104736
5,106730,106764,106756,106754,104957
8,106990,106986,106979,106977,105177
7,107230,107208,107203,107200,105397
10,107430,107431,107426,107424,105618
9,107650,107653,107649,107647,105838
12,107830,107875,107872,107870,106059
11,108020,108097,108095,108093,106279
1,108370,108319,108318,108317,106499
2,108580,108542,108542,108540,106720
4,108800,108764,108765,108763,106940
6,109000,108986,108988,108986,107161
3,109170,109208,109211,109210,107381
8,109440,109430,109434,109433,107601
5,109690,109652,109658,109656,107822
10,109850,109875,109881,109880,108042
7,110100,110097,110104,110103,108263
12,110270,110319,110327,110326,108483
9,110550,110541,110550,110549,108704
11,110800,110763,110773,110773,108924
2,111220,111211,111193,111169,109365
1,111410,111431,111415,111392,109585
6,111650,111650,111637,111615,109806
4,111850,111870,111860,111838,110026
8,112070,112090,112082,112060,110246
3,112310,112310,112305,112283,110467
10,112500,112530,112527,112506,110687
5,112730,112750,112749,112729,110908
12,112970,112969,112972,112952,111128
7,113120,113189,113194,113175,111348
11,113360,113409,113416,113398,111569
9,113650,113629,113639,113621,111789
2,113810,113849,113861,113844,112010
6,114060,114069,114083,114066,112230
1,114310,114288,114306,114289,112451
4,114510,114508,114528,114512,112671
3,114740,114728,114751,114735,112891
8,114990,114948,114973,114958,113112
5,115180,115168,115195,115181,113332
10,115340,115388,115418,115404,113553
7,115600,115607,115640,115627,113773
12,115830,115827,115862,115849,113993
9,116040,116047,116085,116072,114214
11,116320,116267,116307,116295,114434
6,116800,116737,116741,116717,114875
2,116990,116958,116963,116941,115095
4,117140,117180,117185,117164,115316
1,117380,117402,117407,117387,115536
8,117610,117624,117629,117611,115757
3,117830,117845,117851,117834,115977
10,118060,118067,118073,118058,116198
5,118250,118289,118295,118281,116418
12,118500,118510,118517,118504,116638
7,118690,118732,118739,118728,116859
11,118900,118954,118961,118951,117079
9,119190,119176,119183,119175,117300
6,119420,119397,119405,119398,117520
2,119650,119619,119627,119621,117740
1,119880,119841,119849,119845,117961
4,120060,120063,120071,120068,118181
8,120310,120284,120293,120292,118402
10,120480,120506,120516,120515,118622
3,120740,120728,120738,120738,118843
12,120940,120949,120960,120962,119063
5,121230,121171,121182,121185,119283
11,121340,121393,121404,121409,119504
7,121620,121615,121626,121632,119724
9,121860,121836,121848,121855,119945
2,122330,122296,122289,122276,120385
6,122540,122518,122511,122499,120606
4,122700,122739,122733,122721,120826
1,122920,122960,122955,122944,121047
10,123170,123182,123177,123167,121267
8,123440,123403,123399,123390,121487
12,123630,123624,123620,123613,121708
3,123810,123845,123842,123836,121928
11,124040,124067,124064,124059,122149
5,124270,124288,124286,124282,122369
9,124490,124509,124508,124505,122590
7,124750,124731,124730,124728,122810
6,124940,124952,124952,124951,123030
2,125190,125173,125174,125174,123251
4,125380,125394,125396,125396,123471
10,125610,125616,125618,125619,123692
1,125870,125837,125840,125842,123912
8,126060,126058,126062,126065,124132
3,126240,126279,126284,126288,124353
12,126520,126501,126506,126511,124573
5,126710,126722,126728,126734,124794
11,126960,126943,126950,126957,125014
7,127180,127165,127172,127180,125234
9,127390,127386,127394,127403,125455
2,127900,127841,127827,127809,125896
6,128080,128061,128049,128032,126116
10,128220,128281,128270,128255,126337
4,128470,128501,128492,128477,126557
8,128680,128721,128714,128700,126777
1,128950,128941,128935,128922,126998
12,129220,129161,129157,129145,127218
3,129340,129381,129378,129368,127439
11,129600,129602,129600,129590,127659
5,129800,129822,129822,129813,127879
9,129970,130042,130043,130035,128100
7,130250,130262,130265,130258,128320
2,130470,130482,130487,130480,128541
10,130700,130702,130708,130703,128761
6,130960,130922,130930,130926,128981
4,131130,131143,131151,131148,129202
1,131390,131363,131373,131371,129422
8,131610,131583,131595,131593,129643
12,131820,131803,131816,131816,129863
11,132070,132023,132038,132039,130084
3,132210,132243,132260,132261,130304
9,132360,132463,132481,132484,130524
5,132680,132683,132703,132706,130745
7,132980,132904,132924,132929,130965
10,133430,133367,133362,133344,131406
2,133610,133588,133584,133567,131626
4,133800,133809,133805,133789,131847
6,134040,134029,134027,134012,132067
8,134250,134250,134248,134235,132288
1,134460,134471,134470,134458,132508
11,134620,134692,134691,134680,132729
12,134940,134913,134913,134903,132949
9,135090,135133,135134,135126,133169
3,135280,135354,135356,135349,133390
7,135580,135575,135577,135572,133610
5,135770,135796,135798,135794,133831
2,136010,136017,136020,136017,134051
10,136240,136237,136241,136240,134271
6,136470,136458,136463,136463,134492
4,136700,136679,136684,136686,134712
8,136930,136900,136906,136908,134933
11,137120,137121,137127,137131,135153
1,137370,137341,137349,137354,135373
12,137600,137562,137570,137577,135594
3,137740,137783,137792,137800,135814
9,137970,138004,138013,138022,136035
5,138240,138225,138235,138245,136255
7,138480,138445,138456,138468,136476
10,138900,138902,138899,138885,136916
2,139130,139123,139121,139108,137137
4,139300,139345,139342,139331,137357
6,139570,139566,139564,139553,137578
11,139800,139787,139785,139776,137798
8,140010,140009,140007,139999,138018
12,140240,140230,140228,140221,138239
1,140420,140452,140450,140444,138459
9,140650,140673,140671,140667,138680
3,140880,140895,140893,140889,138900
7,141120,141116,141114,141112,139120
5,141310,141338,141336,141335,139341
10,141510,141559,141557,141557,139561
4,141780,141780,141779,141780,139782
2,141980,142002,142000,142002,140002
11,142270,142223,142222,142225,140223
6,142490,142445,142443,142448,140443
8,142700,142666,142665,142670,140663
1,142910,142888,142886,142893,140884
12,143080,143109,143108,143116,141104
9,143300,143331,143329,143338,141325
7,143570,143552,143550,143561,141545
3,143730,143774,143772,143784,141765
5,144050,143995,143993,144006,141986
4,144370,144435,144433,144419,142427
10,144640,144656,144655,144642,142647
11,144920,144878,144876,144864,142867
2,145110,145099,145098,145086,143088
8,145270,145321,145319,145309,143308
6,145560,145543,145541,145531,143529
12,145740,145764,145762,145753,143749
1,145950,145986,145983,145976,143970
7,146210,146207,146205,146198,144190
9,146430,146429,146426,146420,144410
5,146620,146650,146648,146643,144631
3,146840,146872,146869,146865,144851
10,147090,147094,147091,147087,145072
4,147280,147315,147312,147310,145292
2,147520,147537,147534,147532,145512
11,147720,147758,147755,147754,145733
6,147940,147980,147977,147977,145953
8,148230,148201,148198,148199,146174
12,148430,148423,148420,148421,146394
7,148660,148645,148641,148644,146615
1,148890,148866,148863,148866,146835
9,149100,149088,149084,149088,147055
3,149310,149309,149305,149311,147276
5,149600,149531,149527,149533,147496
4,149920,149966,149962,149943,147937
10,150130,150187,150183,150165,148157
11,150400,150408,150404,150388,148378
2,150600,150629,150626,150610,148598
8,150850,150850,150847,150832,148819
6,151100,151071,151068,151055,149039
7,151320,151291,151289,151277,149259
12,151530,151512,151511,151499,149480
9,151700,151733,151732,151722,149700
1,151950,151954,151953,151944,149921
5,152120,152175,152175,152166,150141
3,152390,152396,152396,152389,150362
4,152590,152616,152617,152611,150582
11,152830,152837,152838,152834,150802
10,153060,153058,153060,153056,151023
8,153290,153279,153281,153278,151243
2,153500,153500,153502,153501,151464
7,153750,153721,153723,153723,151684
6,153920,153941,153945,153945,151904
12,154140,154162,154166,154168,152125
1,154410,154383,154387,154390,152345
9,154620,154604,154609,154612,152566
3,154800,154825,154830,154835,152786
5,155080,155045,155051,155057,153006
11,155530,155496,155490,155475,153447
4,155680,155716,155711,155697,153668
8,155940,155937,155933,155919,153888
10,156150,156157,156154,156142,154109
7,156380,156378,156375,156364,154329
2,156600,156598,156596,156586,154549
12,156860,156819,156817,156809,154770
6,157100,157040,157038,157031,154990
9,157240,157260,157259,157253,155211
1,157460,157481,157481,157476,155431
5,157650,157701,157702,157698,155651
3,157930,157922,157923,157920,155872
4,158110,158142,158144,158143,156092
11,158330,158363,158365,158365,156313
10,158570,158583,158586,158588,156533
8,158840,158804,158808,158810,156753
2,159020,159024,159029,159032,156974
7,159260,159245,159250,159255,157194
6,159410,159465,159471,159477,157415
12,159720,159686,159692,159699,157635
9,159890,159906,159913,159922,157856
5,160150,160127,160134,160144,158076
1,160380,160348,160356,160366,158296
3,160560,160568,160577,160589,158517
11,161010,161012,161015,160996,158958
4,161210,161233,161236,161218,159178
8,161480,161454,161457,161441,159398
10,161660,161676,161679,161663,159619
7,161910,161897,161900,161886,159839
2,162150,162118,162121,162108,160060
12,162320,162340,162342,162331,160280
6,162490,162561,162563,162553,160501
5,162730,162782,162784,162776,160721
9,162970,163004,163005,162998,160941
3,163180,163225,163226,163220,161162
1,163440,163446,163447,163443,161382
11,163680,163667,163668,163665,161603
8,163950,163889,163889,163888,161823
4,164120,164110,164110,164110,162043
7,164370,164331,164332,164333,162264
10,164580,164553,164553,164555,162484
12,164760,164774,164774,164778,162705
2,164980,164995,164995,165000,162925
5,165230,165217,165216,165223,163145
6,165400,165438,165437,165445,163366
9,165650,165659,165658,165668,163586
1,165910,165881,165879,165890,163807
3,166120,166102,166100,166113,164027
8,166510,166544,166546,166533,164468
11,166740,166766,166768,166755,164688
7,167000,166988,166989,166978,164909
4,167230,167210,167210,167200,165129
12,167420,167431,167431,167423,165350
10,167650,167653,167653,167646,165570
5,167880,167875,167874,167868,165790
2,168100,168097,168095,168091,166011
9,168330,168319,168316,168313,166231
6,168550,168540,168538,168536,166452
3,168730,168762,168759,168759,166672
1,168970,168984,168980,168981,166892
11,169160,169206,169201,169204,167113
8,169440,169427,169423,169426,167333
4,169660,169649,169644,169649,167554
7,169910,169871,169865,169872,167774
10,170100,170093,170086,170094,167995
12,170290,170315,170308,170317,168215
2,170510,170536,170529,170539,168435
5,170750,170758,170750,170762,168656
6,170920,170980,170971,170985,168876
9,171230,171202,171193,171207,169097
3,171440,171423,171414,171430,169317
1,171700,171645,171635,171652,169537
8,172040,172078,172077,172062,169978
11,172280,172299,172299,172285,170199
7,172470,172521,172520,172507,170419
4,172710,172742,172741,172730,170639
12,172970,172964,172962,172952,170860
10,173200,173185,173184,173175,171080
5,173390,173407,173405,173397,171301
2,173650,173628,173626,173620,171521
9,173850,173850,173848,173842,171742
6,174100,174071,174069,174065,171962
1,174260,174293,174290,174287,172182
3,174470,174514,174511,174510,172403
8,174780,174736,174733,174732,172623
7,174950,174957,174954,174955,172844
11,175140,175179,175175,175177,173064
12,175430,175400,175397,175400,173284
4,175640,175622,175618,175622,173505
5,175890,175843,175839,175845,173725
10,176120,176065,176060,176067,173946
9,176270,176286,176282,176290,174166
2,176470,176508,176503,176512,174387
6,176670,176729,176724,176735,174607
3,176960,176951,176945,176957,174827
1,177190,177172,177167,177180,175048
7,177610,177614,177610,177593,175489
8,177860,177835,177831,177816,175709
12,178030,178056,178052,178039,175929
11,178290,178277,178274,178262,176150
5,178520,178498,178495,178484,176370
4,178770,178719,178716,178707,176591
9,178920,178940,178937,178930,176811
10,179180,179161,179159,179153,177031
6,179380,179382,179380,179375,177252
2,179560,179603,179601,179598,177472
1,179750,179824,179823,179821,177693
3,179980,180045,180044,180044,177913
8,180280,180266,180265,180266,178134
7,180480,180487,180486,180489,178354
11,180680,180708,180708,180712,178574
12,180940,180929,180929,180935,178795
4,181200,181150,181150,181157,179015
5,181450,181371,181372,181380,179236
10,181610,181592,181593,181603,179456
9,181820,181813,181814,181826,179676
6,182000,182034,182035,182048,179897
1,182230,182255,182257,182271,180117
2,182460,182476,182478,182494,180338
3,182720,182697,182699,182717,180558
7,183210,183145,183146,183134,180999
8,183400,183366,183368,183357,181219
12,183570,183588,183589,183580,181440
11,183820,183810,183811,183803,181660
5,184020,184032,184032,184025,181881
4,184280,184254,184254,184248,182101
9,184410,184475,184475,184471,182321
10,184730,184697,184696,184694,182542
1,184920,184919,184918,184916,182762
6,185120,185141,185139,185139,182983
3,185280,185362,185361,185362,183203
2,185580,185584,185582,185584,183423
7,185790,185806,185804,185807,183644
12,186010,186028,186025,186030,183864
8,186240,186249,186246,186253,184085
